"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WSF2","WSF5"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-13","8.05","0.00","0.1","0.0","9","20","1","16.1","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-14","16.11","0.18","3.5","0.0","21","30","3","38.0","49.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-15","15.43","0.00","0.0","2.0","2","6","-4","28.0","34.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-16","4.03","0.03","0.6","1.2","0","10","-6","13.0","16.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-17","6.71","0.00","0.2","2.0","10","20","2","15.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-18","10.51","0.08","2.5","2.0","17","20","6","29.1","33.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-19","13.65","0.00","0.1","3.9","5","7","-4","28.0","35.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-20","5.82","0.00","0.2","3.9","0","12","-10","15.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-21","6.26","0.42","3.6","3.9","18","34","10","10.1","14.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-22","8.05","0.00","0.0","5.9","30","33","22","19.9","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-23","10.74","0.00","0.0","5.1","15","22","-1","21.9","25.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-24","7.61","0.00","0.0","3.9","7","27","-9","21.9","32.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-25","9.62","0.00","0.0","3.9","26","33","21","21.0","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-26","10.51","0.00","0.4","3.1","20","22","10","16.1","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-27","6.49","0.00","0.0","3.9","10","17","2","15.0","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-28","3.36","0.00","0.0","3.9","11","27","-1","8.9","12.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-01","6.26","0.55","3.7","5.9","27","34","20","13.0","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-02","11.18","0.00","0.0","7.1","28","33","17","23.0","28.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-03","7.61","0.72","0.0","5.9","25","49","14","17.0","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-04","6.49","0.71","2.9","3.9","38","44","28","16.1","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-05","10.51","0.11","1.6","7.1","21","28","4","21.9","29.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-06","4.92","0.00","0.0","5.9","9","23","-5","13.0","16.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-07","9.40","0.00","0.0","5.9","24","41","13","21.0","27.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-08","9.17","0.00","0.0","5.1","39","45","33","17.0","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-09","4.92","0.01","0.0","2.0","43","52","35","16.1","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-10","1.79","0.51","0.0","1.2","40","45","32","6.9","10.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-11","6.04","0.00","0.0","0.0","42","43","30","12.1","15.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-12","4.03","0.00","0.0","0.0","37","50","26","10.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-13","5.82","0.20","0.0","0.0","44","59","35","17.0","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-14","8.50","0.57","0.0","0.0","47","55","40","23.9","31.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-15","13.20","0.00","0.0","0.0","40","47","32","25.9","32.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-16","7.83","0.00","0.0","0.0","46","67","32","21.9","27.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-17","15.88","0.00","0.0","0.0","50","58","26","29.1","35.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-18","9.62","0.00","0.0","0.0","32","44","23","23.0","29.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-19","4.47","0.00","0.0","0.0","36","47","29","12.1","17.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-20","5.14","0.18","0.4","0.0","39","42","33","10.1","13.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-21","10.74","0.00","0.0","0.0","44","55","35","25.1","34.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-22","10.51","0.00","0.0","0.0","34","40","24","19.9","25.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-23","5.37","0.01","0.2","0.0","29","40","20","15.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-24","5.82","0.00","0.0","0.0","35","48","29","10.1","14.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-25","7.61","0.21","0.0","0.0","44","69","33","19.9","30.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-26","7.83","0.21","0.0","0.0","47","47","36","19.9","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-27","11.41","0.00","0.2","0.0","34","36","20","21.9","25.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-28","12.75","0.00","0.0","0.0","22","30","15","23.0","32.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-29","7.61","0.02","0.0","0.0","27","45","14","25.9","36.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-30","14.76","0.00","0.0","0.0","43","52","37","30.0","36.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-03-31","10.74","0.00","0.0","0.0","47","60","31","30.0","34.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-01","3.80","0.00","0.0","0.0","40","58","26","15.0","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-02","8.72","0.37","0.0","0.0","51","69","37","25.1","35.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-03","8.50","0.32","0.0","0.0","59","64","42","29.1","38.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-04","13.87","0.08","0.0","0.0","43","48","33","25.9","32.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-05","10.07","0.00","0.0","0.0","50","63","42","21.9","31.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-06","5.82","0.03","0.0","0.0","54","69","37","21.0","27.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-07","3.36","0.17","0.0","0.0","57","63","52","10.1","12.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-08","6.04","0.68","0.0","0.0","62","70","56","17.0","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-09","7.38","0.46","0.0","0.0","63","76","55","25.9","35.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-10","12.53","0.29","0.0","0.0","62","68","52","31.1","44.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-11","12.30","0.00","0.0","0.0","51","56","42","28.0","36.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-12","2.46","0.00","0.0","0.0","51","68","33","14.1","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-13","11.18","0.07","0.0","0.0","65","80","50","23.0","33.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-14","8.28","0.00","0.0","0.0","60","63","51","15.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-15","5.82","0.00","0.0","0.0","55","68","44","15.0","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-16","8.95","0.10","0.0","0.0","54","60","49","21.9","28.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-17","5.82","0.00","0.0","0.0","60","71","54","14.1","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-18","5.82","0.00","0.0","0.0","62","78","45","16.1","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-19","13.42","0.34","0.0","0.0","62","72","53","25.1","36.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-20","13.65","0.10","0.0","0.0","59","74","50","29.1","38.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-21","13.65","0.04","0.0","0.0","52","58","40","31.1","42.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-22","11.41","0.27","0.0","0.0","46","51","37","25.1","31.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-23","12.97","0.00","0.0","0.0","40","44","32","25.9","34.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-24","10.51","0.00","0.0","0.0","41","56","28","25.9","34.0"
